productId,categoryId,barcode,productName,flavor,brand,container,volume,unit,unitPrice,stockQty,isActive,productDescription,createdAt,updatedAt
69d37a55327a443701ce92e5,69cfcc6687666d6fcd59cb39,,อกไก่ปั่น รสออริจินัล,ออริจินัล,Juicy Healthy,ขวด,50,ml,100,35,TRUE,อกไก่ปั่นพร้อมดื่ม รสออริจินัล,,
69d37a55327a443701ce92e6,69cfcc6687666d6fcd59cb39,,อกไก่ปั่น รสสตรอว์เบอร์รี,สตรอว์เบอร์รี,Juicy Healthy,ขวด,50,ml,100,57,TRUE,อกไก่ปั่นพร้อมดื่ม รสสตรอว์เบอร์รี หอมอร่อย,,
69d37a55327a443701ce92e7,69cfcc6687666d6fcd59cb39,,อกไก่ปั่น รสกล้วย,กล้วย,Juicy Healthy,ขวด,50,ml,100,63,TRUE,อกไก่ปั่นพร้อมดื่ม รสกล้วย หอมละมุนกลิ่นกล้วย,,
69d37a55327a443701ce92e8,69cfcc6687666d6fcd59cb39,,อกไก่ปั่น รสช็อกโกแลต,ช็อกโกแลต,Juicy Healthy,ขวด,50,ml,100,30,TRUE,อกไก่ปั่นพร้อมดื่ม รสช็อกโกแลต เข้มข้น ดื่มง่าย,,
69d37a55327a443701ce92e9,69cfcc6687666d6fcd59cb3a,,น้ำผลไม้ Green Vitality,Green Vitality,Juicy Healthy,ขวด,250,ml,100,54,TRUE,น้ำผลไม้รสชาติสดชื่น ดื่มง่าย หอมธรรมชาติจากแอปเปิ้ลเขียว ผสานความสดของแตงกวา เซเลอรี่ และเลมอน,,
69d37a55327a443701ce92ea,69cfcc6687666d6fcd59cb3a,,น้ำผลไม้ Sunrise Shield,Sunrise Shield,Juicy Healthy,ขวด,250,ml,100,60,TRUE,น้ำผักผลไม้สกัดเย็นสูตรเสริมภูมิคุ้มกัน รสสดชื่นจากส้มและแครอท ผสานขิงและขมิ้น ช่วยเติมวิตามินเอและซีสูง ดื่มง่าย สดชื่น ไม่มีน้ำตาล,,
69d37a55327a443701ce92eb,69cfcc6687666d6fcd59cb3a,,น้ำผลไม้ Beetroot Glow,Beetroot Glow,Juicy Healthy,ขวด,250,ml,100,24,TRUE,น้ำบีทรูทสกัดเย็นเพื่อผิวเปล่งปลั่ง ผสานแอปเปิ้ลแดงและเลมอน รสหวานธรรมชาติ ดื่มง่าย อุดมด้วยใยอาหารและสารต้านอนุมูลอิสระ,,
69d37a55327a443701ce92ec,69cfcc6687666d6fcd59cb3a,,น้ำผลไม้ Charcoal Lemonade,Charcoal Lemonade,Juicy Healthy,ขวด,250,ml,100,21,TRUE,เลมอนเนดผสมชาร์โคลสูตรดีท็อกซ์ รสเปรี้ยวหวานสดชื่นจากน้ำเลมอนและน้ำผึ้งธรรมชาติ ช่วยรีเฟรชร่างกาย ดื่มแล้วรู้สึกเบาสบาย,,
69d37a55327a443701ce92ed,69cfcc6687666d6fcd59cb3a,,น้ำผลไม้ Watermelon Flush,Watermelon Flush,Juicy Healthy,ขวด,250,ml,100,45,TRUE,น้ำแตงโมสกัดเย็นสดชื่น ผสมแตงกวาและมิ้นต์ ช่วยเติมความสดชื่น คลายร้อน และเติมน้ำให้ร่างกาย เหมาะสำหรับดื่มระหว่างวัน,,
69d37a55327a443701ce92ee,69cfcc6687666d6fcd59cb3a,,น้ำผลไม้ Sweet Greens,Sweet Greens,Juicy Healthy,ขวด,250,ml,100,13,TRUE,น้ำผักผลไม้สีเขียวรสหวานดื่มง่าย จากแอปเปิ้ล กีวี่ และผักโขม อุดมด้วยวิตามินซีและเค,,
69d37a55327a443701ce92ef,69cfcc6687666d6fcd59cb3a,,น้ำผลไม้ Celery Pure,Celery Pure,Juicy Healthy,ขวด,250,ml,100,32,TRUE,น้ำเซเลอรี่สกัดเย็น 100% รสธรรมชาติ เหมาะสำหรับสายคลีนและดีท็อกซ์ ช่วยเสริมสมดุลร่างกาย ดื่มง่ายในตอนเช้า,,
69d37a55327a443701ce92f0,69cfcc6687666d6fcd59cb3a,,น้ำผลไม้ Citrus Kick,Citrus Kick,Juicy Healthy,ขวด,250,ml,100,27,TRUE,น้ำผลไม้รสเปรี้ยวสดชื่นจากเกรปฟรุต ส้ม และเลมอน เพิ่มความซ่าเล็กน้อยจากพริกคาเยน อุดมด้วยวิตามินซีสูง ช่วยปลุกความสดชื่น,,
69d37a55327a443701ce92f1,69cfcc6687666d6fcd59cb3a,,น้ำผลไม้ Ruby Antioxidant,Ruby Antioxidant,Juicy Healthy,ขวด,250,ml,100,45,TRUE,น้ำผลไม้สีแดงเข้มจากทับทิม แอปเปิ้ล และองุ่น อุดมด้วยสารต้านอนุมูลอิสระ รสหวานธรรมชาติ เหมาะสำหรับดูแลผิวและสุขภาพ,,
69d37a55327a443701ce92f2,69cfcc6687666d6fcd59cb3a,,น้ำผลไม้ Coconut Recharge ,Coconut Recharge ,Juicy Healthy,ขวด,250,ml,100,54,TRUE,น้ำมะพร้าวผสมสับปะรด เติมความสดชื่นและเกลือแร่ ช่วยรีเฟรชร่างกายหลังออกกำลังกาย รสชาติหวานธรรมชาติ ดื่มแล้วสดชื่นทันที,,
